x-axis,F1
Hertz,dBV
+57.900E+03,-39.68689E+00
+58.000E+03,-39.63864E+00
+58.100E+03,-39.68689E+00
+58.200E+03,-39.68689E+00
+58.300E+03,-39.68689E+00
+58.400E+03,-39.68689E+00
+58.500E+03,-39.68689E+00
+58.600E+03,-39.68689E+00
+58.700E+03,-39.68689E+00
+58.800E+03,-39.68689E+00
+58.900E+03,-39.68689E+00
+59.000E+03,-39.68689E+00
+59.100E+03,-39.68689E+00
+59.200E+03,-39.68689E+00
+59.300E+03,-39.68689E+00
+59.400E+03,-39.68689E+00
+59.500E+03,-39.68689E+00
+59.600E+03,-39.68689E+00
+59.700E+03,-39.68689E+00
+59.800E+03,-39.68689E+00
+59.900E+03,-39.68689E+00
+60.000E+03,-39.68689E+00
+60.100E+03,-39.68689E+00
+60.200E+03,-39.68689E+00
+60.300E+03,-39.68689E+00
+60.400E+03,-39.68689E+00
+60.500E+03,-39.68689E+00
+60.600E+03,-37.70886E+00
+60.700E+03,-39.68689E+00
+60.800E+03,-39.68689E+00
+60.900E+03,-39.68689E+00
+61.000E+03,-39.68689E+00
+61.100E+03,-39.68686E+00
+61.200E+03,-39.68689E+00
+61.300E+03,-39.68689E+00
+61.400E+03,-39.67289E+00
+61.500E+03,-39.68689E+00
+61.600E+03,-39.68689E+00
+61.700E+03,-39.68689E+00
+61.800E+03,-39.68689E+00
+61.900E+03,-39.68689E+00
+62.000E+03,-39.68689E+00
+62.100E+03,-39.68689E+00
+62.200E+03,-39.68689E+00
+62.300E+03,-39.68689E+00
+62.400E+03,-39.68689E+00
+62.500E+03,-39.68689E+00
+62.600E+03,-39.68689E+00
+62.700E+03,-39.68689E+00
+62.800E+03,-39.68689E+00
+62.900E+03,-28.70993E+00
+63.000E+03,-39.68689E+00
+63.100E+03,-39.68689E+00
+63.200E+03,-39.68689E+00
+63.300E+03,-39.68689E+00
+63.400E+03,-39.68689E+00
+63.500E+03,-39.68689E+00
+63.600E+03,-39.68689E+00
+63.700E+03,-39.68689E+00
+63.800E+03,-39.68689E+00
+63.900E+03,-39.68689E+00
+64.000E+03,-39.68689E+00
+64.100E+03,-39.68689E+00
+64.200E+03,-39.68689E+00
+64.300E+03,-39.68689E+00
+64.400E+03,-39.68689E+00
+64.500E+03,-39.68689E+00
+64.600E+03,-39.68689E+00
+64.700E+03,-39.68689E+00
+64.800E+03,-39.68689E+00
+64.900E+03,-39.68689E+00
+65.000E+03,-39.68689E+00
+65.100E+03,-39.68689E+00
+65.200E+03,-39.68689E+00
+65.300E+03,-39.68689E+00
+65.400E+03,-39.68689E+00
+65.500E+03,-39.68689E+00
+65.600E+03,-39.68689E+00
+65.700E+03,-39.68689E+00
+65.800E+03,-39.68689E+00
+65.900E+03,-39.68689E+00
+66.000E+03,-39.68689E+00
+66.100E+03,-39.68689E+00
+66.200E+03,-39.68689E+00
+66.300E+03,-39.68689E+00
+66.400E+03,-39.68689E+00
+66.500E+03,-39.68689E+00
+66.600E+03,-39.68689E+00
+66.700E+03,-39.68689E+00
+66.800E+03,-39.68689E+00
+66.900E+03,-39.68689E+00
+67.000E+03,-37.73920E+00
+67.100E+03,-39.68689E+00
+67.200E+03,-39.68689E+00
+67.300E+03,-39.68689E+00
+67.400E+03,-39.68689E+00
+67.500E+03,-39.18503E+00
+67.600E+03,-39.68689E+00
+67.700E+03,-39.68689E+00
+67.800E+03,-39.68689E+00
+67.900E+03,-39.68689E+00
+68.000E+03,-39.68689E+00
+68.100E+03,-39.68689E+00
+68.200E+03,-39.68689E+00
+68.300E+03,-39.68689E+00
+68.400E+03,-39.68689E+00
+68.500E+03,-39.68689E+00
+68.600E+03,-39.60545E+00
+68.700E+03,-33.28963E+00
+68.800E+03,-39.68689E+00
+68.900E+03,-39.68689E+00
+69.000E+03,-38.88892E+00
+69.100E+03,-39.68689E+00
+69.200E+03,-39.68689E+00
+69.300E+03,-39.68689E+00
+69.400E+03,-39.68689E+00
+69.500E+03,-39.68689E+00
+69.600E+03,-39.68689E+00
+69.700E+03,-39.68689E+00
+69.800E+03,-39.68689E+00
+69.900E+03,-39.68689E+00
+70.000E+03,-39.68689E+00
+70.100E+03,-39.68689E+00
+70.200E+03,-39.68689E+00
+70.300E+03,-39.68689E+00
+70.400E+03,-39.68689E+00
+70.500E+03,-39.68689E+00
+70.600E+03,-39.68689E+00
+70.700E+03,-39.68689E+00
+70.800E+03,-39.30055E+00
+70.900E+03,-39.68689E+00
+71.000E+03,-39.68689E+00
+71.100E+03,-39.68689E+00
+71.200E+03,-39.68689E+00
+71.300E+03,-39.68689E+00
+71.400E+03,-39.61155E+00
+71.500E+03,-39.68689E+00
+71.600E+03,-39.68689E+00
+71.700E+03,-39.68689E+00
+71.800E+03,-38.53912E+00
+71.900E+03,-39.68689E+00
+72.000E+03,-39.68689E+00
+72.100E+03,-39.68689E+00
+72.200E+03,-39.68689E+00
+72.300E+03,-39.68689E+00
+72.400E+03,-39.68689E+00
+72.500E+03,-39.68689E+00
+72.600E+03,-39.68689E+00
+72.700E+03,-37.26275E+00
+72.800E+03,-39.68689E+00
+72.900E+03,-39.68689E+00
+73.000E+03,-39.68689E+00
+73.100E+03,-39.68689E+00
+73.200E+03,-39.68689E+00
+73.300E+03,-39.68689E+00
+73.400E+03,-39.68689E+00
+73.500E+03,-39.68689E+00
+73.600E+03,-39.68689E+00
+73.700E+03,-39.68689E+00
+73.800E+03,-38.58065E+00
+73.900E+03,-39.68689E+00
+74.000E+03,-39.68689E+00
+74.100E+03,-39.68689E+00
+74.200E+03,-36.79408E+00
+74.300E+03,-39.68689E+00
+74.400E+03,-39.68689E+00
+74.500E+03,-39.68689E+00
+74.600E+03,-39.68689E+00
+74.700E+03,-39.68689E+00
+74.800E+03,-39.68689E+00
+74.900E+03,-39.68689E+00
+75.000E+03,-37.45349E+00
+75.100E+03,-37.81854E+00
+75.200E+03,-1.82480E+00
